epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.856,0.67574,0.61135,1.19353,0.91922,0.86848,0.91768,0.6995,0.9276,0.59624,1.33685,0.000552278,0.000552278,0.000552278
2,673.285,0.70468,0.65567,1.20308,0.89253,0.85898,0.90857,0.68286,0.9568,0.60571,1.35935,0.00108966,0.00108966,0.00108966
3,995.555,0.75532,0.69561,1.22841,0.87583,0.87307,0.90499,0.67243,0.97593,0.6749,1.39012,0.00160871,0.00160871,0.00160871
4,1316.88,0.77669,0.73497,1.24405,0.86875,0.86184,0.90004,0.66673,0.96844,0.63638,1.37881,0.00158448,0.00158448,0.00158448
5,1637.4,0.75982,0.7304,1.23238,0.88354,0.85149,0.89719,0.67398,0.97236,0.67169,1.37742,0.00155698,0.00155698,0.00155698
6,1958.23,0.75711,0.74488,1.24044,0.8745,0.85327,0.90125,0.66751,0.97081,0.64502,1.38744,0.00152947,0.00152947,0.00152947
7,2279.61,0.77447,0.74784,1.24013,0.87052,0.87427,0.9043,0.65656,0.97371,0.67683,1.37865,0.00150197,0.00150197,0.00150197
8,2600.62,0.75315,0.74953,1.24298,0.89449,0.85011,0.91306,0.68638,0.95976,0.62715,1.35479,0.00147446,0.00147446,0.00147446
9,2920.75,0.74117,0.71677,1.23018,0.88831,0.85203,0.90819,0.69119,0.96743,0.62323,1.39588,0.00144696,0.00144696,0.00144696
10,3237.63,0.75716,0.70934,1.23596,0.90444,0.84884,0.90474,0.67243,0.9992,0.6551,1.39481,0.00141945,0.00141945,0.00141945
11,3533.28,0.75228,0.72067,1.22888,0.88754,0.87172,0.90959,0.68915,0.9478,0.61274,1.35647,0.00139195,0.00139195,0.00139195
12,3829.43,0.75128,0.70534,1.23121,0.90673,0.85503,0.91129,0.68534,0.9543,0.61073,1.35494,0.00136444,0.00136444,0.00136444
13,4126.3,0.74275,0.68486,1.22645,0.87963,0.8696,0.9052,0.68324,0.98518,0.62079,1.39845,0.00133693,0.00133693,0.00133693
14,4447.19,0.75374,0.7041,1.22624,0.8942,0.86783,0.90898,0.67835,0.99229,0.65429,1.40915,0.00130943,0.00130943,0.00130943
15,4767.79,0.74802,0.68907,1.2299,0.89149,0.86586,0.91272,0.67791,0.98625,0.61413,1.38001,0.00128192,0.00128192,0.00128192
16,5089.7,0.74184,0.67609,1.22458,0.8856,0.86778,0.90884,0.67812,0.99698,0.63693,1.42622,0.00125442,0.00125442,0.00125442
